INCIDENCECODE,CLUSTER
3417621675916_1,7
3417621675916_2,24
3425225937297_1,43
3425225937297_2,59
3425225937297_3,4
3425510128314,21
3434001239385,78
3435535837841,108
3441655253611_1,7
3444943024695,-1
3446663841536_0,81
3446663841536_1,75
3446663841536_2,5
3447439759669_1,-1
3447786533597_0,109
3447786533597_1,22
3457473732138,-1
3458608879489_0,38
3458608879489_1,106
3458736781443_1,5
3464414656298,18
3470976135682_1,3
3473818902467_0,4
3473818902467_1,106
3475558896117,4
3477263882293,-1
3481380629275,4
3481676675231_0,4
3481676675231_1,59
3481676675231_2,13
3482813803104,4
3488559319491,86
3491396579116,60
3495046622692,16
3495910129307,-1
350309327387_0,5
350309327387_1,-1
3507111641427,1
3509169791362_1,13
351014777076,-1
3514818931762_1,-1
351615794581,-1
3520202967756,38
3523423966120,4
3527542179598_0,4
3527542179598_1,4
3537090562261_1,46
3537090562261_2,9
3537090562261_3,-1
3537274007685_1,68
3538399874926_1,103
35460084478,4
3549886101044,85
3550014927170_0,65
3550014927170_1,24
3551973764451,50
3560731134747,9
3566498392211,62
3570551413586,-1
3578908291849,16
3579042706868,1
3579237209578,4
3592357132894,16
3599329811268_0,1
3599329811268_1,-1
3603155099270_1,5
3603155099270_2,4
3605187557700_0,4
3605187557700_1,4
3605187557700_2,-1
3605187557700_3,4
3607370784837,4
3616339539810_1,5
3616992440273_1,-1
3616992440273_2,5
3616992440273_3,81
3622991935908,16
362454773819_1,15
362539359457_1,14
362539359457_2,38
362539359457_3,3
3628421751698,4
3631516983200_0,14
3631516983200_1,-1
3632670658912,4
3633929337537_1,13
3634590946176,63
3637559870563_1,78
3639258708043_1,7
3639258708043_2,7
3639258708043_3,-1
3644620745816,16
3654493235698,4
3656205452323_1,22
3656371280634_1,-1
3660215976135,65
3663406991923,73
3664573141131,1
366763461720_1,-1
3670296526160_1,73
3676230352978_0,56
3676230352978_1,3
368836708626,4
3692502970754_0,1
3692502970754_1,-1
3695992649634,-1
3697140122161_0,63
3697140122161_1,4
3697140122161_2,3
3697705371963,74
3697740715198,25
3697841184225_0,34
3697841184225_1,82
3697841184225_2,23
3700628277201,4
370501323073,108
3705303513941_1,24
3710683707601,7
3711679050089,9
3714154499107_0,4
3714154499107_1,4
3718501167037,4
3719363495587_1,-1
3726208239392,10
372878148720,81
3734155538000,100
3737137814655,24
3737869516167,21
3738232086297_1,4
3739378952881,1
374376447075_1,-1
3749949528467_1,45
3751220847977,16
3758234707919_1,33
3760292297894_1,9
3761688540566,4
3762491737438,4
377046315075_1,8
3776539004196_1,-1
3781795826212_1,32
3789827994059_0,-1
3789827994059_1,-1
3789827994059_2,17
3793021490921_1,83
3793586326652_1,4
3796967927548,-1
3801224390919,51
3801224686467,16
380294782908_1,82
380294782908_2,23
381514746304,18
3817535669924,3
3817681879112,-1
3819667854048_1,4
3820071292073,16
3820177875100,16
3823295563956,16
3823942704676,71
3838957779680,-1
383927142887,1
3853904792164,16
3854755567451_1,-1
3856833656641_1,-1
3861951156986,38
3864603431086_0,-1
3864603431086_1,100
3876151014632,-1
3876798483027,3
3877176795933_0,110
3877176795933_1,-1
3877176795933_2,59
389168291131,40
3892390679937,4
3894249792428_1,7
3895622272245_1,4
3895622272245_2,3
3899150363835,16
3899961273910,-1
3901905769771_1,85
3901905769771_2,-1
390437029057,45
3906306623136,1
391120316916,24
391949672893_1,32
3922202154419,1
3924074675311,13
3929883150132_1,16
3932477067994_0,39
3932477067994_1,17
3934191264684_1,5
3934191264684_2,81
3936026439807,76
393632741685,16
3939706471989,16
3942771261327,7
3944480041049_1,5
3944480041049_2,-1
3944739705809,84
3953648023003,-1
3953989658268_0,106
3953989658268_1,-1
3954017553236,29
3959368890383_1,-1
3964690919664_0,-1
3964690919664_1,93
3965609006619_0,86
3965609006619_1,4
3974236602669,25
3980730578145_0,4
3980730578145_1,3
3981107106302,16
3985319603,16
3986726683933,85
3988115115880,0
3994796128127,1
3999453406154,-1
4006450606144,1
4006802799489,40
4013137538973,4
4017202438682,86
4017660961965_1,49
4023332995646_1,82
4023332995646_2,23
4023341081251,65
4025317477612_0,4
4025317477612_1,24
4025392147701_1,7
4026091668137_0,4
4026091668137_1,108
4026091668137_2,5
4026091668137_3,-1
4032848379949,106
4033810685942,-1
4036133836973,-1
4043189071571_1,103
4048358207895,79
4050878700209_1,35
4056159008485_1,33
4060788669011_1,4
4062706292367,1
4065125888323,0
4069127327667,-1
4069237531393,56
4074328305717_0,1
4074328305717_1,106
4074328305717_2,14
4074328305717_3,99
4075192795342_0,-1
4075192795342_1,29
4084583604115_0,4
4084583604115_1,3
4086099493229,4
4087417584708,9
4093719571792_1,49
4098418524743,16
4099505653725_0,9
4099505653725_1,13
4099505653725_2,-1
4104348695911,39
4105000208155,40
4106103629225_1,5
4109179972748_0,56
4109179972748_1,3
4115575710798,1
4115603151329,79
4116495905508_0,-1
4116495905508_1,107
4116495905508_2,5
4116495905508_3,107
4116495905508_4,99
4118105002854,111
4121094315580_0,4
4121094315580_1,4
4121094315580_2,5
412193478235_1,24
4122472504624,38
4124397949455_0,40
4124397949455_1,-1
4124823815540_1,81
4124861435934,1
4125476943065_1,24
4127015738289,39
4127893503253,20
4128825860648_0,18
4128825860648_1,42
4129652312842,4
4130530398323_0,21
4130530398323_1,105
4130530398323_2,75
4137368791905_0,108
4137368791905_1,-1
4137564957834_0,7
4137564957834_1,34
413942574972,61
4140570658081,4
4140668844452,16
4143107077883,44
4143828512963_0,9
4143828512963_1,21
4147502727319_0,47
4147502727319_1,4
4150519500117,1
4153293861462,4
4155194855724,1
4159169317663,4
4160508729885_0,39
4160508729885_1,17
4172100822234_0,-1
4172100822234_1,24
4176126305696_1,4
4185982911531,19
419046216604_0,39
419046216604_1,17
4193806879630,4
4195367675183,4
4196067595750_1,24
4197635343633,7
4199994551790,1
4206068743799,4
4209524404635_1,-1
4209524404635_2,4
4213275240605_1,37
4221250314659,3
4226465363416,55
4231009066829,11
4231024538078,48
4233198027896,9
4239037056717_0,9
4239037056717_1,4
4239037056717_2,-1
4239904513874,1
4244651980343,4
4244849849439,39
4246231226200,84
4249429987119,62
4251146972011,4
4251981976838,3
4259757010703,18
4269814104853_0,112
4269814104853_1,-1
4269814104853_2,5
4269814104853_3,4
4271315921629_0,1
4271315921629_1,-1
4272691874838_1,-1
4272691874838_2,16
4272691874838_3,13
4280469229659_1,110
4280469229659_2,80
4291262665672_1,3
4294395527456_0,85
4294395527456_1,24
4299514314618,4
430310011028_1,33
4304892310154_0,48
4304892310154_1,48
4308235938647,19
4309673626040,48
4311820663477,4
4314596682757,48
4314851743368,9
4316914041749,38
4321925578360,-1
4323856186516,16
4324161158098_1,-1
4327709920202_0,-1
4327709920202_1,43
4327709920202_2,59
4327709920202_3,4
4333793485372,48
4334981604883_1,4
4337505294638_0,65
4337505294638_1,61
4342362169045,18
4345719718904,-1
4345936888751,45
4349605879064_1,22
4350969779315,3
4352650554312,15
4354914255552_1,7
4359732132540_1,75
4364811007810,71
4364937651595_0,85
4364937651595_1,24
43656177177_1,4
4372219980572,4
4377261065363,4
4380748852587,75
4386051919481,4
4386621330604,113
4392444029152,-1
4394608142547,-1
4396164708929,18
4398866124034_1,35
4400455849193,-1
4403334366020_0,114
4403334366020_1,-1
4412079018959,-1
4412269908454,1
4417113311561_0,66
4417113311561_1,4
4417113311561_2,24
442024987291,4
4421176201712,16
